Provincia,Densidad,Identidad,Medicos,Escolaridad,AguayDesague,Electrificacion
Bagua,0.66228046503747595,94.61,14.61,79.79,64.48,67.91
Bongará,0.63182491983336697,97.47,9.01,76.42,54.83,72.17
Condorcanqui,0.45982417359739702,86.23,8.56,52.21,37.71,39.49
Luya,0.60471977563772505,96.19,12.42,74.73,43.35,67.4
Rodríguez de Mendoza,0.63122642672378404,97.34,14.88,79.42,46.5,67.55
Utcubamba,0.60966053473904103,95.17,10.11,77.17,52.52,63.12
Chachapoyas,0.77369947765747804,98.62,25.45,91.5,70.35,83.97
Huaraz,0.81188056400195396,98.51,21.81,95.01,82.93,93.15
Aija,0.65792527303758697,98.23,8.59,89.5,47.78,79.12
Asunción,0.69749173551566601,97.15,17.19,81.54,67.12,74.29
Bolognesi,0.67566667624108701,96.37,9.42,85.24,61.39,79.14
Carhuaz,0.69555647444528002,98.47,10.22,72.06,73.3,86.91
Antonio Raymondi,0.61133632832543405,96.82,4.99,77.74,48.92,73.88
Casma,0.74659479203405799,96.95,10.04,89.77,81.96,87.88
Corongo,0.67022278161382998,96.26,11.3,78.18,61.69,80.14
Huari,0.674625925495003,97.31,14.09,76.35,60.09,80.08
Huarmey,0.75737909088231603,98.01,13.36,95.51,75.26,87.64
Huaylas,0.66152078470017295,97.39,14.33,63.73,69.34,76.41
Mariscal Luzuriaga,0.518845570941175,96.65,5.2,69.08,31.29,53.73
Ocros,0.63665264192362203,97.96,7.43,93.47,42.75,71.77
Pallasca,0.61217183810490705,94.54,9.78,75.64,44.66,74.96
Pomabamba,0.57894480459810205,96.64,14.53,63.92,49.76,54.94
Recuay,0.71102906297665602,97.72,10.26,90.29,73.42,76.99
Santa,0.82453378385685305,98.09,19.7,96.43,88.63,96.28
Sihuas,0.60906364202542496,96.7,12.06,69.54,43.01,75.18
Carlos Fermín Fitzcarrald,0.498242674326282,97.07,9.09,59.73,29.43,47.75
Yungay,0.62490419674105102,97.28,10.23,62.35,67.38,68.4
Andahuaylas,0.71803735285102799,98.37,12.4,83.71,72.3,83.98
Antabamba,0.57003735167727299,96.16,5.32,91.06,25.28,63.65
Aymaraes,0.61095185173043598,97.51,4.95,92.24,34.56,72.91
Cotabambas,0.54255687104295303,95.64,6.06,74.05,33.99,57.49
Chincheros,0.62399046607037001,97.97,7.16,81.51,53.19,67.4
Grau,0.58270258180297396,95.64,8.58,82.46,27.83,71.11
Abancay,0.74664210925345598,97.9,16.93,93.69,63,90.51
Arequipa,0.90751255711866696,99.42,40.49,93.41,95.54,97.9
Camaná,0.78105620775790496,98.73,21.33,90.38,82.97,82.89
Castilla,0.74060306523932895,98.56,12.31,82.49,85.13,83.61
Caylloma,0.66210570508518996,98.58,10.98,84.37,58.45,71.36
Condesuyos,0.64540435056994505,97.94,12.94,83.27,64.64,55.27
Caravelí,0.69455357945863905,98.49,17.55,80.91,63.44,75.19
La Unión,0.63249329567075496,96.77,19.78,71.46,61.88,53.16
Islay,0.81792550316922596,98.5,18.66,94.2,92.63,92.52
Huamanga,0.75913215727586303,99.44,19.16,83.56,74.31,90.32
Cangallo,0.57005664208629903,99.5,10.61,70.76,45.14,51.95
Huanca Sancos,0.57225649643924603,99.5,10.41,85.45,26.86,56.98
La Mar,0.49455521817960302,98.24,5.92,61.57,30.53,47.07
Lucanas,0.61926358774697898,99.19,10.05,91.03,36.76,65.9
Parinacochas,0.64705083980144495,99.41,13.41,83.91,43.31,74.55
Huanta,0.59710625096048298,98.33,7.83,72.04,50.32,64.82
Sucre,0.63069024032816901,99.26,12.71,86.85,38.4,69.65
Víctor Fajardo,0.61563691265460496,99.14,8.77,77.81,46.88,69.38
Vilcas Huamán,0.53491112186262302,99.14,7.88,72.02,45.9,37.26
Paucar del Sara Sara,0.71586878521868202,98.66,14.42,93.92,54.03,87.28
Cajabamba,0.59788451839185996,95.27,6.29,66.83,63.48,62.89
Celendín,0.58900438498573504,96.39,6.32,68.47,57.18,61.93
Chota,0.58564246487164395,95.87,6.96,79.13,41,65.22
Contumazá,0.63267509489467399,96.95,8.51,89.55,51.34,64.32
Cutervo,0.54620217755129996,97.13,10.02,72.52,36.21,50.54
Hualgayoc,0.56142882614443901,96.22,6.04,71.37,51.67,51.39
Jaén,0.63717501341609895,95.81,10.81,83.23,44.75,76.77
San Ignacio,0.57617348489739095,95.75,5.67,76.6,47.26,59.03
San Marcos,0.58046227961753705,95.6,4.47,69.88,66.34,50.97
San Miguel,0.57865186709588601,96.53,6.91,85.78,48.11,47.4
San Pablo,0.55874729275597301,96.99,3.71,75.13,55.09,45.98
Santa Cruz,0.53487736017808696,96.08,6.72,87.98,13.79,58.39
Cajamarca,0.74813534955002803,98.07,15.73,86.13,76.12,87.53
Callao,0.85135124558263098,99.49,26.42,89.85,93.04,99.25
Cusco,0.876225747973573,97.89,30.51,99.5,90.37,99.5
Acomayo,0.63311645509724401,97.2,10.45,83.13,48.24,70.57
Anta,0.63790818765249002,97.98,4.63,82.89,43.54,86.83
Calca,0.63209928975155905,96.95,6.34,77.72,52.64,78.17
Canas,0.56802208678226096,98.34,5.33,84.54,34.1,58.15
Canchis,0.73436494337445801,97.84,10.8,92.71,70.11,88.52
Chumbivilcas,0.53293109160135299,97.86,6.05,76.01,39.44,43.07
Espinar,0.61085553945092996,98.73,8.98,88.41,45.85,57.46
La Convención,0.60693447728942895,96.32,9.27,84.77,40.92,66
Paruro,0.55734187062275298,97.61,4.85,74.89,41.15,56.93
Paucartambo,0.55994419755392,96.78,6.13,59.78,46.32,66.86
Quispicanchi,0.61798894128061499,97.61,4.9,74.76,52.65,75.8
Urubamba,0.72339716552691602,96.07,11.14,89.09,59.23,98.75
Huancavelica,0.647680116683642,98.92,8.45,83.98,40.41,86.45
Acobamba,0.57713098683879205,98.75,2.63,77.54,31.17,76.72
Angaraes,0.59132301625873496,98.44,3,76.82,36.93,78.46
Castrovirreyna,0.56524233492003995,98.09,4.73,99.5,20.88,56.27
Churcampa,0.56145540986174802,97.94,3.79,75.45,25.91,75.11
Huaytará,0.57090014790437105,97.44,6.91,93.07,24.04,59.38
Tayacaja,0.58272731971937697,97.27,4.69,77.79,28.87,79.63
Huánuco,0.71785119544132203,97.47,21.9,84.46,65.54,74.96
Ambo,0.55942297632797999,97.92,11.18,74.88,25.58,62.69
Dos de Mayo,0.58222806972310304,96.8,13.03,74.01,49.45,49.14
Huacaybamba,0.58255238056717695,96.52,6.55,66.93,53.17,63.74
Huamalies,0.55977650302783599,94.99,11.36,75.29,41.53,49.14
Leoncio Prado,0.68029029048496303,95.48,18.54,91.42,51.54,70.81
Marañón,0.47702842867428202,96.84,6.76,64.06,23.83,42.51
Pachitea,0.48205163794271999,94.71,8.92,52.47,35.91,43.07
Puerto Inca,0.48066555380792803,90.08,13.72,68.02,25.54,33.83
Lauricocha,0.55540949964995801,96.31,11.26,82,36.4,44.23
Yarowilca,0.52941593494425099,98.26,9.6,76.9,31.87,41.68
Ica,0.84501574519018297,99.5,30.02,87.74,94.27,90.96
Chincha,0.76216134959331905,99.5,16.26,84.45,83.15,86.88
Nazca,0.78121311423833195,99.38,18.78,87.54,84.17,88.22
Palpa,0.77496635356558397,99.31,18.16,85.49,91.18,81.24
Pisco,0.70922751814655205,99.26,13.87,84.9,70.46,76.88
Huancayo,0.81508332659124105,98.87,20.31,94.56,85.42,94.84
Concepción,0.67051916271586798,97.82,6.35,85.5,58.17,83.2
Chanchamayo,0.64284963918807903,97.55,8.1,80.73,58.93,70.7
Jauja,0.70528104832536098,98.01,10.38,90.83,55.89,90.61
Junín,0.62667426378938096,98.92,12.52,88.08,23.29,82.19
Satipo 1/,0.58069536479280004,96.11,5.19,72.42,51.84,61.33
Tarma,0.71051009810840005,98.85,10.94,84.8,62.19,91.19
Yauli,0.77272262877042097,99.5,12.4,99.03,75.59,91.57
Chupaca,0.68883067026086597,97.82,6.71,93.78,58.96,82.66
Trujillo,0.887990713702698,99.35,32.92,95.7,98.06,96.02
Ascope,0.75532367750702001,99.5,17.6,96.51,65.46,86.86
Bolívar,0.58935221023585105,96.78,17.07,59,51.47,58.96
Chepén,0.75695367587208195,99.1,13.03,92.17,84.75,80.74
Julcán,0.52724357529827204,97.73,9.03,60,54.22,36.62
Otuzco,0.58767441493628303,97.03,12,59.91,61.66,55.24
Pacasmayo,0.78412356094270197,99.3,15.95,93.87,82.13,90.17
Pataz,0.60383469454642202,95.75,11.82,61.61,58.11,66.74
Sánchez Carrión,0.48380925258934199,96.21,8.27,48.12,39.53,44.26
Santiago de Chuco,0.56671517235456803,98.08,11.91,68.78,45.59,51.07
