Country,Freedom in the World 2020,2020 Index of Economic Freedom,2020 Press Freedom Index,2019 Democracy Index
 Afghanistan,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Albania,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Algeria,2notfree,5repressed,1difficultsituation,4hybridregime
 Angola,2notfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Argentina,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Armenia,3partlyfree,3mostlyfree,3noticeableproblems,4hybridregime
 Australia,1free,1free,4satisfactorysituation,3fulldemocracy
 Austria,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 Azerbaijan,2notfree,2moderatelyfree,5veryserioussituation,1authoritarianregime
 Bahrain,2notfree,2moderatelyfree,5veryserioussituation,1authoritarianregime
 Bangladesh,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Belarus,2notfree,2moderatelyfree,1difficultsituation,1authoritarianregime
 Belgium,1free,2moderatelyfree,2goodsituation,2flaweddemocracy
 Benin,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Bhutan,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Bolivia,3partlyfree,5repressed,1difficultsituation,4hybridregime
 Bosnia and Herzegovina,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Botswana,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 Brazil,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Bulgaria,1free,3mostlyfree,1difficultsituation,2flaweddemocracy
 Burkina Faso,3partlyfree,4mostlyunfree,4satisfactorysituation,4hybridregime
 Burma,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Burundi,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Cambodia,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Cameroon,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Canada,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 Cape Verde,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 Central African Republic,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Chad,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Chile,1free,3mostlyfree,3noticeableproblems,3fulldemocracy
 China,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 Colombia,3partlyfree,2moderatelyfree,1difficultsituation,2flaweddemocracy
 Comoros,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Costa Rica,1free,2moderatelyfree,2goodsituation,3fulldemocracy
" Congo, Democratic Republic of the",2notfree,5repressed,1difficultsituation,1authoritarianregime
" Congo, Republic of the",2notfree,5repressed,1difficultsituation,1authoritarianregime
 Croatia,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
