Country,Industrial production
Afghanistan,-1.9
Albania,6.8
Algeria,0.6
Angola,2.5
Anguilla,4
Antigua and Barbuda,6.8
Argentina,2.7
Armenia,5.4
Australia,1.4
Austria,6.5
Azerbaijan,-3.8
"Bahamas, The",5.8
Bahrain,0.6
Bangladesh,10.2
Barbados,2.4
Belarus,5.6
Belgium,0.2
Belize,-0.6
Benin,3
Bermuda,2
Bhutan,6.3
Bolivia,2.2
Bosnia and Herzegovina,3
Botswana,-4.2
Brazil,0
British Virgin Islands,1.1
Brunei,1.5
Bulgaria,3.6
Burkina Faso,10.4
Burma,8.9
Burundi,-2
Cabo Verde,2.9
Cambodia,10.6
Cameroon,3.3
Canada,4.9
Cayman Islands,2.2
Central African Republic,3.9
Chad,-4
Chile,-0.4
China,6.1
Colombia,-2.2
Comoros,1
"Congo, Democratic Republic of the",1.6
"Congo, Republic of the",-3
Cook Islands,1
Costa Rica,1.3
Cote d'Ivoire,4.2
Croatia,1.2
Cuba,-1.2
Cyprus,13.4
Czechia,7.5
Denmark,2.5
Djibouti,2.7
Dominica,-13
Dominican Republic,3.1
Ecuador,-0.6
Egypt,3.5
El Salvador,3.6
Equatorial Guinea,-6.9
Eritrea,5.4
Estonia,9.5
Eswatini,5.6
Ethiopia,10.5
European Union,3.5
Faroe Islands,3.4
Fiji,2.8
Finland,6.2
France,2
Gabon,1.8
"Gambia, The",-0.8
Gaza Strip,2.2
Georgia,6.7
Germany,3.3
Ghana,16.7
Greece,3.5
Grenada,10
Guatemala,1.8
Guinea,11
Guinea-Bissau,2.5
Guyana,-5
Haiti,0.9
Honduras,4.5
Hong Kong,1.7
Hungary,7.4
Iceland,2.4
India,5.5
Indonesia,4.1
Iran,3
Iraq,0.7
Ireland,7.8
Israel,3.5
Italy,2.1
Jamaica,0.9
Japan,1.4
Jordan,1.4
Kazakhstan,5.8
Kenya,3.6
Kiribati,1.1
"Korea, North",1
"Korea, South",4.6
Kosovo,1.2
Kuwait,2.8
Kyrgyzstan,10.9
Laos,8
Latvia,10.6
Lebanon,-21.1
Lesotho,12.5
Liberia,9
Libya,60.3
Lithuania,5.9
Luxembourg,1.9
Macau,2
Madagascar,5.2
Malawi,1.2
Malaysia,5
Maldives,14
Mali,6.3
Malta,-3.3
Mauritania,1
Mauritius,3.2
Mexico,-0.6
Moldova,3
Monaco,6.8
Mongolia,-1
Montenegro,-4.2
Montserrat,-21
Morocco,2.8
Mozambique,4.9
Namibia,-0.4
Nepal,12.4
Netherlands,3.3
New Caledonia,3.5
New Zealand,1.8
Nicaragua,3.5
Niger,6
Nigeria,2.2
North Macedonia,-7.8
Norway,1.5
Oman,-3
Pakistan,5.4
Panama,6.3
Papua New Guinea,3.3
Paraguay,2
Peru,2.7
Philippines,7.2
Poland,7.5
Portugal,3.5
Puerto Rico,-2.1
Qatar,3
Romania,5.5
Russia,-1
Rwanda,4.2
Saint Kitts and Nevis,5
Saint Lucia,6
Saint Vincent and the Grenadines,2.5
Samoa,-1.8
San Marino,-1.1
Sao Tome and Principe,5
Saudi Arabia,-2.4
Senegal,7.7
Serbia,3.9
Seychelles,2.3
Sierra Leone,15.5
Singapore,5.7
Slovakia,2.7
Slovenia,8.6
Solomon Islands,3.6
Somalia,3.5
South Africa,1.2
Spain,4
Sri Lanka,4.6
Sudan,4.5
Suriname,1
Sweden,4.1
Switzerland,3.4
Syria,4.3
Taiwan,3.9
Tajikistan,1
Tanzania,12
Thailand,1.6
Timor-Leste,2
Togo,5
Tonga,5
Trinidad and Tobago,-4.3
Tunisia,0.5
Turkey,9.1
Turkmenistan,1
Turks and Caicos Islands,3
Tuvalu,-26.1
Uganda,4.4
Ukraine,3.1
United Arab Emirates,1.8
United Kingdom,3.4
United States,2.3
Uruguay,-3.6
Uzbekistan,4.5
Vanuatu,4.5
Venezuela,-2
Vietnam,8
West Bank,2.2
World,3.2
Yemen,8.9
Zambia,4.7
Zimbabwe,0.3
